"COUNTY_ID","CONAME","DISTRICT_ID","DISTNAME","LINE_NO","ACCOUNT","LINE_DESC","AMOUNT_1","AMOUNT_2","AMOUNT_3"
01,"ATLANTIC",0010,"ABSECON CITY",100,"10-1210","Local Tax Levy",10921920.00,11033884.00,11254562.00
01,"ATLANTIC",0010,"ABSECON CITY",190,"10-1300","Total Tuition",45081.00,31268.00,53255.00
01,"ATLANTIC",0010,"ABSECON CITY",300,"10-1XXX","Unrestricted Miscellaneous Revenues",11041.00,4100.00,4100.00
01,"ATLANTIC",0010,"ABSECON CITY",320,"10-1XXX","Interest Earned On Current Expense Emergency Res",5.00,5.00,0.00
01,"ATLANTIC",0010,"ABSECON CITY",330,"10-1XXX","Interest Earned On Maintenance Reserve",0.00,2.00,2.00
01,"ATLANTIC",0010,"ABSECON CITY",340,"10-1XXX","Interest Earned On Capital Reserve Funds",103.00,10.00,10.00
01,"ATLANTIC",0010,"ABSECON CITY",370,"","Subtotal - Revenues From Local Sources",10978150.00,11069269.00,11311929.00
01,"ATLANTIC",0010,"ABSECON CITY",420,"10-3121","Categorical Transportation Aid",59759.00,59759.00,69426.00
01,"ATLANTIC",0010,"ABSECON CITY",430,"10-3131","Extraordinary Aid",19417.00,0.00,0.00
01,"ATLANTIC",0010,"ABSECON CITY",440,"10-3132","Categorical Special Education Aid",507050.00,507050.00,515308.00
01,"ATLANTIC",0010,"ABSECON CITY",450,"10-3175","Educational Adequacy Aid",77534.00,0.00,0.00
01,"ATLANTIC",0010,"ABSECON CITY",460,"10-3176","Equalization Aid",810011.00,810011.00,798863.00
01,"ATLANTIC",0010,"ABSECON CITY",470,"10-3177","Categorical Security Aid",44731.00,44731.00,51965.00
01,"ATLANTIC",0010,"ABSECON CITY",482,"10-3180","Under Adequacy Aid",0,0.00,77534.00
01,"ATLANTIC",0010,"ABSECON CITY",483,"10-3181","PARCC Readiness Aid",0,0.00,9570.00
01,"ATLANTIC",0010,"ABSECON CITY",484,"10-3182","Per Pupil Growth Aid",0,0.00,9570.00
01,"ATLANTIC",0010,"ABSECON CITY",485,"10-3183","Professional Learning Community Aid",0,0.00,9030.00
01,"ATLANTIC",0010,"ABSECON CITY",500,"10-3XXX","Other State Aids",28536.00,96674.00,0.00
01,"ATLANTIC",0010,"ABSECON CITY",520,"","Subtotal - Revenues From State Sources",1547038.00,1518225.00,1541266.00
01,"ATLANTIC",0010,"ABSECON CITY",540,"10-4200","Medicaid Reimbursement",0.00,0.00,15371.00
01,"ATLANTIC",0010,"ABSECON CITY",570,"","Subtotal - Revenues From Federal Sources",0.00,0.00,15371.00
01,"ATLANTIC",0010,"ABSECON CITY",580,"10-303","Budgeted Fund Balance - Operating Budget",0.00,365000.00,364377.00
01,"ATLANTIC",0010,"ABSECON CITY",620,"10-309","Withdraw From Cap Res-Excess Cost & Oth Cap Prj",0.00,10000.00,40000.00
01,"ATLANTIC",0010,"ABSECON CITY",630,"10-310","Withdrawal From Maint. Reserve",0.00,15000.00,20000.00
01,"ATLANTIC",0010,"ABSECON CITY",640,"10-311","Withdrawal From Tuition Reserve-For Tuition Adj.",0.00,124337.00,139908.00
01,"ATLANTIC",0010,"ABSECON CITY",650,"10-311","Withdrawal From Tuition Reserve-Excess Over Adj.",0.00,7255.00,0.00
01,"ATLANTIC",0010,"ABSECON CITY",660,"10-312","Withdrawal From Current Expense Emergency Rsv",0.00,0.00,50085.00
01,"ATLANTIC",0010,"ABSECON CITY",710,"","Adjustment For Prior Year Encumbrances",0.00,31137.00,0.00
