"COUNTY_ID","CONAME","DISTRICT_ID","DISTNAME","ENROLL_LINE_NO","ENROLL_CAT","AMOUNT_1","AMOUNT_2","AMOUNT_3"
05,"BURLINGTON",1280,"EDGEWATER PARK TWP",52,"Sent Oth Dist SpEd",49.0,44.0,12.0
05,"BURLINGTON",1280,"EDGEWATER PARK TWP",60,"Received Oth Dist",11.0,13.0,0.0
05,"BURLINGTON",1280,"EDGEWATER PARK TWP",70,"State Facilities",2.0,1.0,1.0
05,"BURLINGTON",1420,"EVESHAM TWP",11,"Onroll (Full)",3818.0,3661.0,3540.0
05,"BURLINGTON",1420,"EVESHAM TWP",12,"Onroll (Shared)",155.0,144.0,0.0
05,"BURLINGTON",1420,"EVESHAM TWP",21,"Onroll (SpEd Full)",751.0,780.0,822.0
05,"BURLINGTON",1420,"EVESHAM TWP",40,"Sent Private School",25.0,26.0,26.0
05,"BURLINGTON",1420,"EVESHAM TWP",51,"Sent Oth Dist Reg",2.0,5.0,0.0
05,"BURLINGTON",1420,"EVESHAM TWP",52,"Sent Oth Dist SpEd",13.0,17.0,11.0
05,"BURLINGTON",1420,"EVESHAM TWP",60,"Received Oth Dist",85.0,82.0,10.0
05,"BURLINGTON",1520,"FLORENCE TWP",11,"Onroll (Full)",1558.0,1526.0,1560.0
05,"BURLINGTON",1520,"FLORENCE TWP",21,"Onroll (SpEd Full)",203.0,203.0,231.0
05,"BURLINGTON",1520,"FLORENCE TWP",40,"Sent Private School",15.0,12.0,0.0
05,"BURLINGTON",1520,"FLORENCE TWP",51,"Sent Oth Dist Reg",6.0,10.0,0.0
05,"BURLINGTON",1520,"FLORENCE TWP",52,"Sent Oth Dist SpEd",16.0,20.0,24.0
05,"BURLINGTON",1520,"FLORENCE TWP",60,"Received Oth Dist",17.0,16.0,0.0
05,"BURLINGTON",1520,"FLORENCE TWP",70,"State Facilities",2.0,4.0,4.0
05,"BURLINGTON",1910,"HAINESPORT TWP",11,"Onroll (Full)",553.0,531.0,525.0
05,"BURLINGTON",1910,"HAINESPORT TWP",21,"Onroll (SpEd Full)",94.0,92.0,98.0
05,"BURLINGTON",1910,"HAINESPORT TWP",40,"Sent Private School",4.0,5.0,3.0
05,"BURLINGTON",1910,"HAINESPORT TWP",52,"Sent Oth Dist SpEd",3.0,4.0,6.0
05,"BURLINGTON",1910,"HAINESPORT TWP",60,"Received Oth Dist",13.0,0,0.0
05,"BURLINGTON",2610,"LENAPE REGIONAL",11,"Onroll (Full)",5836.0,5764.0,5763.0
05,"BURLINGTON",2610,"LENAPE REGIONAL",21,"Onroll (SpEd Full)",1005.0,993.0,1033.0
05,"BURLINGTON",2610,"LENAPE REGIONAL",22,"Onroll (SpEd Shared)",0,1.0,0.0
05,"BURLINGTON",2610,"LENAPE REGIONAL",40,"Sent Private School",82.0,80.0,0.0
05,"BURLINGTON",2610,"LENAPE REGIONAL",51,"Sent Oth Dist Reg",9.0,8.0,8.0
05,"BURLINGTON",2610,"LENAPE REGIONAL",52,"Sent Oth Dist SpEd",31.0,32.5,22.0
05,"BURLINGTON",2610,"LENAPE REGIONAL",60,"Received Oth Dist",0,2.0,0.0
05,"BURLINGTON",2610,"LENAPE REGIONAL",70,"State Facilities",6.0,4.0,4.0
05,"BURLINGTON",2850,"LUMBERTON TWP",11,"Onroll (Full)",1200.0,1096.0,1064.0
05,"BURLINGTON",2850,"LUMBERTON TWP",21,"Onroll (SpEd Full)",276.0,281.0,274.0
05,"BURLINGTON",2850,"LUMBERTON TWP",40,"Sent Private School",11.0,7.0,11.0
05,"BURLINGTON",2850,"LUMBERTON TWP",50,"Sent Contract Presch",4.0,4.0,0.0
05,"BURLINGTON",2850,"LUMBERTON TWP",51,"Sent Oth Dist Reg",2.0,1.0,0.0
05,"BURLINGTON",2850,"LUMBERTON TWP",52,"Sent Oth Dist SpEd",12.0,20.0,11.0
05,"BURLINGTON",2850,"LUMBERTON TWP",60,"Received Oth Dist",8.0,7.0,0.0
05,"BURLINGTON",2960,"MANSFIELD TWP",11,"Onroll (Full)",607.0,564.0,595.0
05,"BURLINGTON",2960,"MANSFIELD TWP",21,"Onroll (SpEd Full)",64.0,73.0,73.0
05,"BURLINGTON",2960,"MANSFIELD TWP",40,"Sent Private School",7.0,3.0,6.0
05,"BURLINGTON",2960,"MANSFIELD TWP",52,"Sent Oth Dist SpEd",3.0,3.0,3.0
05,"BURLINGTON",2960,"MANSFIELD TWP",60,"Received Oth Dist",0,17.0,0.0
05,"BURLINGTON",3010,"MAPLE SHADE TWP",11,"Onroll (Full)",1813.0,1750.0,1691.0
05,"BURLINGTON",3010,"MAPLE SHADE TWP",21,"Onroll (SpEd Full)",419.0,431.0,557.0
05,"BURLINGTON",3010,"MAPLE SHADE TWP",40,"Sent Private School",7.5,10.0,9.0
05,"BURLINGTON",3010,"MAPLE SHADE TWP",50,"Sent Contract Presch",0,1.0,0.0
05,"BURLINGTON",3010,"MAPLE SHADE TWP",51,"Sent Oth Dist Reg",5.0,2.0,0.0
05,"BURLINGTON",3010,"MAPLE SHADE TWP",52,"Sent Oth Dist SpEd",15.0,16.0,13.0
05,"BURLINGTON",3010,"MAPLE SHADE TWP",60,"Received Oth Dist",10.0,5.0,9.0
05,"BURLINGTON",3010,"MAPLE SHADE TWP",70,"State Facilities",5.0,3.0,3.0
05,"BURLINGTON",3070,"MEDFORD LAKES BORO",11,"Onroll (Full)",467.0,463.0,472.0
05,"BURLINGTON",3070,"MEDFORD LAKES BORO",21,"Onroll (SpEd Full)",69.0,78.0,80.0
05,"BURLINGTON",3070,"MEDFORD LAKES BORO",40,"Sent Private School",2.0,2.0,0.0
05,"BURLINGTON",3070,"MEDFORD LAKES BORO",52,"Sent Oth Dist SpEd",1.0,1.0,1.0
05,"BURLINGTON",3070,"MEDFORD LAKES BORO",60,"Received Oth Dist",1.0,3.0,1.0
05,"BURLINGTON",3080,"MEDFORD TWP",11,"Onroll (Full)",2369.0,2317.0,2220.0
05,"BURLINGTON",3080,"MEDFORD TWP",21,"Onroll (SpEd Full)",360.0,398.0,449.0
05,"BURLINGTON",3080,"MEDFORD TWP",40,"Sent Private School",15.0,17.0,0.0
05,"BURLINGTON",3080,"MEDFORD TWP",52,"Sent Oth Dist SpEd",11.0,12.0,10.0
05,"BURLINGTON",3080,"MEDFORD TWP",60,"Received Oth Dist",4.0,3.0,0.0
05,"BURLINGTON",3360,"MOORESTOWN TWP",11,"Onroll (Full)",3421.0,3344.0,3265.0
05,"BURLINGTON",3360,"MOORESTOWN TWP",21,"Onroll (SpEd Full)",504.0,567.0,567.0
05,"BURLINGTON",3360,"MOORESTOWN TWP",40,"Sent Private School",27.0,19.0,0.0
05,"BURLINGTON",3360,"MOORESTOWN TWP",51,"Sent Oth Dist Reg",9.0,4.0,0.0
05,"BURLINGTON",3360,"MOORESTOWN TWP",52,"Sent Oth Dist SpEd",21.0,18.0,10.0
05,"BURLINGTON",3360,"MOORESTOWN TWP",60,"Received Oth Dist",89.0,78.0,0.0
05,"BURLINGTON",3360,"MOORESTOWN TWP",70,"State Facilities",2.0,3.0,3.0
05,"BURLINGTON",3430,"MOUNT HOLLY TWP",11,"Onroll (Full)",805.0,798.0,881.0
05,"BURLINGTON",3430,"MOUNT HOLLY TWP",21,"Onroll (SpEd Full)",193.0,189.0,175.0
05,"BURLINGTON",3430,"MOUNT HOLLY TWP",40,"Sent Private School",4.0,1.0,4.0
05,"BURLINGTON",3430,"MOUNT HOLLY TWP",50,"Sent Contract Presch",0.0,0.0,2.0
05,"BURLINGTON",3430,"MOUNT HOLLY TWP",51,"Sent Oth Dist Reg",5.0,8.0,7.0
05,"BURLINGTON",3430,"MOUNT HOLLY TWP",52,"Sent Oth Dist SpEd",18.0,25.0,25.0
05,"BURLINGTON",3430,"MOUNT HOLLY TWP",60,"Received Oth Dist",49.0,48.0,33.0
05,"BURLINGTON",3440,"MOUNT LAUREL TWP",11,"Onroll (Full)",3672.0,3657.0,3649.0
05,"BURLINGTON",3440,"MOUNT LAUREL TWP",21,"Onroll (SpEd Full)",545.0,549.0,591.0
05,"BURLINGTON",3440,"MOUNT LAUREL TWP",40,"Sent Private School",12.0,12.0,12.0
05,"BURLINGTON",3440,"MOUNT LAUREL TWP",51,"Sent Oth Dist Reg",5.0,4.0,4.0
05,"BURLINGTON",3440,"MOUNT LAUREL TWP",52,"Sent Oth Dist SpEd",5.0,6.0,8.0
05,"BURLINGTON",3440,"MOUNT LAUREL TWP",60,"Received Oth Dist",31.0,25.0,25.0
05,"BURLINGTON",3540,"NEW HANOVER TWP",11,"Onroll (Full)",157.0,170.0,198.0
05,"BURLINGTON",3540,"NEW HANOVER TWP",21,"Onroll (SpEd Full)",25.0,22.0,22.0
05,"BURLINGTON",3540,"NEW HANOVER TWP",40,"Sent Private School",1.0,2.0,2.0
05,"BURLINGTON",3540,"NEW HANOVER TWP",51,"Sent Oth Dist Reg",43.0,43.0,41.0
05,"BURLINGTON",3540,"NEW HANOVER TWP",52,"Sent Oth Dist SpEd",14.0,13.0,8.0
05,"BURLINGTON",3650,"NORTH HANOVER TWP",11,"Onroll (Full)",1094.0,1060.0,1075.0
05,"BURLINGTON",3650,"NORTH HANOVER TWP",21,"Onroll (SpEd Full)",137.0,124.0,131.0
05,"BURLINGTON",3650,"NORTH HANOVER TWP",40,"Sent Private School",1.0,0,1.0
05,"BURLINGTON",3650,"NORTH HANOVER TWP",51,"Sent Oth Dist Reg",1.0,1.0,0.0
05,"BURLINGTON",3650,"NORTH HANOVER TWP",52,"Sent Oth Dist SpEd",6.0,5.0,6.0
05,"BURLINGTON",3650,"NORTH HANOVER TWP",60,"Received Oth Dist",8.0,8.0,10.0
05,"BURLINGTON",3690,"NORTHERN BURLINGTON REG",11,"Onroll (Full)",1756.0,1700.0,1739.0
05,"BURLINGTON",3690,"NORTHERN BURLINGTON REG",21,"Onroll (SpEd Full)",359.0,348.0,361.0
05,"BURLINGTON",3690,"NORTHERN BURLINGTON REG",40,"Sent Private School",16.5,17.5,16.0
05,"BURLINGTON",3690,"NORTHERN BURLINGTON REG",51,"Sent Oth Dist Reg",3.0,2.0,0.0
05,"BURLINGTON",3690,"NORTHERN BURLINGTON REG",52,"Sent Oth Dist SpEd",18.5,12.5,15.0
05,"BURLINGTON",3690,"NORTHERN BURLINGTON REG",60,"Received Oth Dist",6.0,10.0,2.0
05,"BURLINGTON",3690,"NORTHERN BURLINGTON REG",70,"State Facilities",1.0,2.0,2.0
05,"BURLINGTON",3920,"PALMYRA BORO",11,"Onroll (Full)",820.0,827.0,842.0
05,"BURLINGTON",3920,"PALMYRA BORO",21,"Onroll (SpEd Full)",125.0,115.0,110.0
05,"BURLINGTON",3920,"PALMYRA BORO",40,"Sent Private School",13.0,10.0,10.0
05,"BURLINGTON",3920,"PALMYRA BORO",51,"Sent Oth Dist Reg",1.0,1.0,0.0
05,"BURLINGTON",3920,"PALMYRA BORO",52,"Sent Oth Dist SpEd",13.0,11.0,18.0
05,"BURLINGTON",3920,"PALMYRA BORO",60,"Received Oth Dist",98.0,96.0,88.0
05,"BURLINGTON",3920,"PALMYRA BORO",70,"State Facilities",1.0,2.0,2.0
05,"BURLINGTON",4050,"PEMBERTON TWP",11,"Onroll (Full)",4344.0,4330.0,4372.0
05,"BURLINGTON",4050,"PEMBERTON TWP",21,"Onroll (SpEd Full)",681.0,651.0,651.0
05,"BURLINGTON",4050,"PEMBERTON TWP",40,"Sent Private School",44.0,43.0,43.0
05,"BURLINGTON",4050,"PEMBERTON TWP",50,"Sent Contract Presch",45.0,44.0,0.0
05,"BURLINGTON",4050,"PEMBERTON TWP",51,"Sent Oth Dist Reg",18.0,12.0,54.0
05,"BURLINGTON",4050,"PEMBERTON TWP",52,"Sent Oth Dist SpEd",33.0,37.0,37.0
05,"BURLINGTON",4050,"PEMBERTON TWP",60,"Received Oth Dist",31.0,30.0,30.0
05,"BURLINGTON",4050,"PEMBERTON TWP",70,"State Facilities",7.0,5.0,0.0
05,"BURLINGTON",4320,"RANCOCAS VALLEY REGIONAL",11,"Onroll (Full)",1747.0,1698.0,1728.0
05,"BURLINGTON",4320,"RANCOCAS VALLEY REGIONAL",21,"Onroll (SpEd Full)",335.0,321.0,375.0
05,"BURLINGTON",4320,"RANCOCAS VALLEY REGIONAL",40,"Sent Private School",31.0,40.0,41.0
05,"BURLINGTON",4320,"RANCOCAS VALLEY REGIONAL",51,"Sent Oth Dist Reg",11.0,20.0,28.0
05,"BURLINGTON",4320,"RANCOCAS VALLEY REGIONAL",52,"Sent Oth Dist SpEd",30.0,36.0,36.0
05,"BURLINGTON",4320,"RANCOCAS VALLEY REGIONAL",60,"Received Oth Dist",41.0,41.0,28.0
05,"BURLINGTON",4320,"RANCOCAS VALLEY REGIONAL",70,"State Facilities",9.0,7.0,0.0
05,"BURLINGTON",4450,"RIVERSIDE TWP",11,"Onroll (Full)",1215.0,1233.0,1298.0
05,"BURLINGTON",4450,"RIVERSIDE TWP",21,"Onroll (SpEd Full)",189.0,166.0,149.0
05,"BURLINGTON",4450,"RIVERSIDE TWP",40,"Sent Private School",13.0,8.0,11.0
05,"BURLINGTON",4450,"RIVERSIDE TWP",51,"Sent Oth Dist Reg",1.0,4.0,0.0
05,"BURLINGTON",4450,"RIVERSIDE TWP",52,"Sent Oth Dist SpEd",28.0,33.0,22.0
05,"BURLINGTON",4450,"RIVERSIDE TWP",60,"Received Oth Dist",129.0,116.0,105.0
05,"BURLINGTON",4450,"RIVERSIDE TWP",70,"State Facilities",3.0,1.0,0.0
05,"BURLINGTON",4460,"RIVERTON",11,"Onroll (Full)",261.0,271.0,277.0
05,"BURLINGTON",4460,"RIVERTON",21,"Onroll (SpEd Full)",34.0,35.0,30.0
05,"BURLINGTON",4460,"RIVERTON",40,"Sent Private School",6.0,6.0,7.0
05,"BURLINGTON",4460,"RIVERTON",51,"Sent Oth Dist Reg",40.0,43.0,43.0
05,"BURLINGTON",4460,"RIVERTON",52,"Sent Oth Dist SpEd",13.0,15.0,14.0
05,"BURLINGTON",4460,"RIVERTON",60,"Received Oth Dist",2.0,2.0,2.0
05,"BURLINGTON",4740,"SHAMONG TWP",11,"Onroll (Full)",700.0,662.0,657.0
05,"BURLINGTON",4740,"SHAMONG TWP",21,"Onroll (SpEd Full)",100.0,106.0,105.0
05,"BURLINGTON",4740,"SHAMONG TWP",40,"Sent Private School",2.0,4.0,4.0
05,"BURLINGTON",4740,"SHAMONG TWP",51,"Sent Oth Dist Reg",1.0,0,0.0
05,"BURLINGTON",4740,"SHAMONG TWP",52,"Sent Oth Dist SpEd",5.0,3.0,0.0
05,"BURLINGTON",4930,"SOUTHAMPTON TWP",11,"Onroll (Full)",628.0,589.0,581.0
05,"BURLINGTON",4930,"SOUTHAMPTON TWP",21,"Onroll (SpEd Full)",98.0,110.0,120.0
05,"BURLINGTON",4930,"SOUTHAMPTON TWP",40,"Sent Private School",4.0,3.0,1.0
05,"BURLINGTON",4930,"SOUTHAMPTON TWP",52,"Sent Oth Dist SpEd",13.0,12.0,15.0
05,"BURLINGTON",5010,"SPRINGFIELD TWP",11,"Onroll (Full)",206.0,190.0,222.0
05,"BURLINGTON",5010,"SPRINGFIELD TWP",21,"Onroll (SpEd Full)",33.0,32.0,0.0
05,"BURLINGTON",5010,"SPRINGFIELD TWP",40,"Sent Private School",0,2.0,0.0
05,"BURLINGTON",5010,"SPRINGFIELD TWP",51,"Sent Oth Dist Reg",0.0,0.0,1.0
05,"BURLINGTON",5010,"SPRINGFIELD TWP",60,"Received Oth Dist",6.0,11.0,0.0
05,"BURLINGTON",5130,"TABERNACLE TWP",11,"Onroll (Full)",688.0,667.0,656.0
05,"BURLINGTON",5130,"TABERNACLE TWP",21,"Onroll (SpEd Full)",88.0,77.0,69.0
05,"BURLINGTON",5130,"TABERNACLE TWP",40,"Sent Private School",2.0,2.0,4.0
05,"BURLINGTON",5130,"TABERNACLE TWP",60,"Received Oth Dist",14.0,11.0,0.0
05,"BURLINGTON",5490,"WASHINGTON TWP",11,"Onroll (Full)",42.0,36.0,0.0
05,"BURLINGTON",5490,"WASHINGTON TWP",21,"Onroll (SpEd Full)",3.0,5.0,0.0
05,"BURLINGTON",5490,"WASHINGTON TWP",51,"Sent Oth Dist Reg",48.0,47.0,97.0
05,"BURLINGTON",5490,"WASHINGTON TWP",52,"Sent Oth Dist SpEd",11.0,10.0,10.0
05,"BURLINGTON",5720,"WESTAMPTON",11,"Onroll (Full)",854.0,856.0,867.0
05,"BURLINGTON",5720,"WESTAMPTON",21,"Onroll (SpEd Full)",127.0,119.0,126.0
05,"BURLINGTON",5720,"WESTAMPTON",40,"Sent Private School",6.0,2.0,3.0
05,"BURLINGTON",5720,"WESTAMPTON",51,"Sent Oth Dist Reg",0.0,1.0,1.0
05,"BURLINGTON",5720,"WESTAMPTON",52,"Sent Oth Dist SpEd",9.0,9.0,11.0
05,"BURLINGTON",5720,"WESTAMPTON",60,"Received Oth Dist",23.0,4.0,3.0
05,"BURLINGTON",5805,"WILLINGBORO TWP",11,"Onroll (Full)",3326.0,3236.0,3196.0
05,"BURLINGTON",5805,"WILLINGBORO TWP",21,"Onroll (SpEd Full)",563.0,574.0,590.0
05,"BURLINGTON",5805,"WILLINGBORO TWP",40,"Sent Private School",41.0,54.0,0.0
05,"BURLINGTON",5805,"WILLINGBORO TWP",51,"Sent Oth Dist Reg",26.0,17.0,0.0
05,"BURLINGTON",5805,"WILLINGBORO TWP",52,"Sent Oth Dist SpEd",69.0,65.0,112.0
05,"BURLINGTON",5805,"WILLINGBORO TWP",60,"Received Oth Dist",2.0,22.0,0.0
05,"BURLINGTON",5805,"WILLINGBORO TWP",70,"State Facilities",13.0,13.0,0.0
05,"BURLINGTON",5890,"WOODLAND TWP",11,"Onroll (Full)",129.0,131.0,133.0
05,"BURLINGTON",5890,"WOODLAND TWP",21,"Onroll (SpEd Full)",23.0,20.0,23.0
05,"BURLINGTON",5890,"WOODLAND TWP",40,"Sent Private School",1.0,2.0,0.0
05,"BURLINGTON",5890,"WOODLAND TWP",51,"Sent Oth Dist Reg",0.0,0.0,3.0
05,"BURLINGTON",5890,"WOODLAND TWP",52,"Sent Oth Dist SpEd",0,2.0,0.0
05,"BURLINGTON",5890,"WOODLAND TWP",60,"Received Oth Dist",0,1.0,0.0
07,"CAMDEN",0150,"AUDUBON BORO",11,"Onroll (Full)",1264.0,1273.0,1291.0
07,"CAMDEN",0150,"AUDUBON BORO",21,"Onroll (SpEd Full)",289.0,258.0,282.0
07,"CAMDEN",0150,"AUDUBON BORO",40,"Sent Private School",12.0,14.0,0.0
07,"CAMDEN",0150,"AUDUBON BORO",51,"Sent Oth Dist Reg",2.0,1.0,0.0
07,"CAMDEN",0150,"AUDUBON BORO",52,"Sent Oth Dist SpEd",9.0,9.0,9.0
07,"CAMDEN",0150,"AUDUBON BORO",60,"Received Oth Dist",186.0,176.0,183.0
07,"CAMDEN",0150,"AUDUBON BORO",70,"State Facilities",0,1.0,0.0
07,"CAMDEN",0190,"BARRINGTON BORO",11,"Onroll (Full)",537.0,541.0,564.0
07,"CAMDEN",0190,"BARRINGTON BORO",21,"Onroll (SpEd Full)",78.0,82.0,81.0
07,"CAMDEN",0190,"BARRINGTON BORO",40,"Sent Private School",4.0,6.0,6.0
07,"CAMDEN",0190,"BARRINGTON BORO",51,"Sent Oth Dist Reg",215.0,195.0,203.0
07,"CAMDEN",0190,"BARRINGTON BORO",52,"Sent Oth Dist SpEd",25.0,29.0,29.0
07,"CAMDEN",0190,"BARRINGTON BORO",60,"Received Oth Dist",5.0,4.0,2.0
07,"CAMDEN",0190,"BARRINGTON BORO",70,"State Facilities",2.0,0,0.0
07,"CAMDEN",0260,"BELLMAWR BORO",11,"Onroll (Full)",1065.0,1083.0,1097.0
07,"CAMDEN",0260,"BELLMAWR BORO",21,"Onroll (SpEd Full)",101.0,114.0,136.0
07,"CAMDEN",0260,"BELLMAWR BORO",40,"Sent Private School",8.0,10.0,12.0
07,"CAMDEN",0260,"BELLMAWR BORO",51,"Sent Oth Dist Reg",3.0,3.0,0.0
07,"CAMDEN",0260,"BELLMAWR BORO",52,"Sent Oth Dist SpEd",7.0,7.0,9.0
07,"CAMDEN",0260,"BELLMAWR BORO",60,"Received Oth Dist",2.0,32.0,0.0
07,"CAMDEN",0330,"BERLIN BORO",11,"Onroll (Full)",747.0,748.0,763.0
07,"CAMDEN",0330,"BERLIN BORO",21,"Onroll (SpEd Full)",110.0,106.0,109.0
07,"CAMDEN",0330,"BERLIN BORO",40,"Sent Private School",2.0,1.0,0.0
07,"CAMDEN",0330,"BERLIN BORO",51,"Sent Oth Dist Reg",2.0,0.0,0.0
07,"CAMDEN",0330,"BERLIN BORO",52,"Sent Oth Dist SpEd",1.0,0,0.0
07,"CAMDEN",0330,"BERLIN BORO",60,"Received Oth Dist",3.0,0,0.0
